,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,khatanga,71.97,102.5,-15.7,91,0,8.01,RU,1580184356
322,talcahuano,-36.72,-73.12,62.6,82,0,12.75,CL,1580184463
323,troitsk,54.1,61.58,-0.42,93,88,8.75,RU,1580184463
324,portland,45.52,-122.68,53.01,87,90,12.75,US,1580184211
325,praya,14.92,-23.51,71.6,68,67,16.11,CV,1580184463
326,great falls,47.5,-111.3,37.4,68,40,12.75,US,1580184164
327,wanaka,-44.7,169.15,81.0,35,100,5.99,NZ,1580184348
328,bitkine,11.98,18.21,63.25,14,92,7.4,TD,1580184463
329,nova vcelnice,49.24,15.07,37.99,95,100,1.01,CZ,1580184464
330,omboue,-1.57,9.26,75.36,95,0,0.49,GA,1580184464
331,taucha,51.38,12.48,45.0,81,75,14.99,DE,1580184464
332,yar-sale,66.83,70.83,-5.55,96,93,14.61,RU,1580184355
333,mulhouse,47.67,7.42,46.99,87,75,3.36,FR,1580184464
334,yarmouth,41.71,-70.23,41.0,60,90,4.7,US,1580184464
335,damghan,36.17,54.35,29.52,59,0,0.43,IR,1580184464
336,nome,64.5,-165.41,1.4,49,1,17.22,US,1580184258
337,ambon,-3.7,128.18,95.0,53,40,5.82,ID,1580184464
338,eureka,40.8,-124.16,54.0,81,90,6.93,US,1580184367
339,manicaragua,22.15,-79.97,71.6,88,31,3.36,CU,1580184464
340,aventura,25.96,-80.14,68.0,60,40,3.36,US,1580184464
341,boizenburg,53.38,10.72,42.8,87,75,11.41,DE,1580184464
342,nago,26.59,127.98,66.2,59,75,17.22,JP,1580184464
343,aswan,24.09,32.91,53.11,63,33,6.89,EG,1580184464
344,uruzgan,32.83,66.0,8.55,63,0,11.54,AF,1580184464
345,muncar,-8.43,114.33,83.46,75,3,5.7,ID,1580184464
346,san quintin,30.48,-115.95,58.91,79,0,6.46,MX,1580184464
347,jefferson city,38.58,-92.17,32.0,93,90,5.82,US,1580184428
348,huarmey,-10.07,-78.15,70.84,77,100,4.29,PE,1580184464
349,telemaco borba,-24.32,-50.62,64.58,97,33,1.57,BR,1580184465
350,bima,-8.47,118.72,86.76,69,24,3.69,ID,1580184465
351,mangan,27.52,88.53,40.78,61,93,1.92,IN,1580184465
352,ilinskiy,55.62,38.12,21.2,85,90,13.42,RU,1580184465
353,vardo,70.37,31.11,12.2,85,75,12.75,NO,1580184263
354,gat,31.61,34.76,50.0,87,100,3.36,IL,1580184356
355,berbera,10.44,45.01,77.16,67,4,12.06,SO,1580184465
356,kahului,20.89,-156.47,82.4,54,20,9.17,US,1580184227
357,rorvik,64.86,11.24,35.01,73,100,3.0,NO,1580184465
358,bocaiuva,-17.11,-43.81,71.6,100,100,3.29,BR,1580184425
359,tomigusuku,26.18,127.67,66.2,59,75,17.22,JP,1580184465
360,kenai,60.55,-151.26,6.01,77,90,9.17,US,1580184465
361,dorado,18.46,-66.27,78.8,83,40,2.35,PR,1580184465
362,barentu,15.11,37.59,51.12,77,0,1.28,ER,1580184465
363,olavarria,-36.89,-60.32,61.0,55,0,11.27,AR,1580184465
364,malmyzh,56.52,50.68,-10.98,96,0,6.46,RU,1580184465
365,bodinayakkanur,10.02,77.35,71.08,59,0,1.32,IN,1580184465
366,wanning,18.8,110.4,63.63,87,100,8.75,CN,1580184331
367,dicabisagan,17.08,122.42,79.95,64,2,3.71,PH,1580184351
368,katangli,51.71,143.23,16.14,91,100,4.16,RU,1580184465
369,salinopolis,-0.61,-47.36,82.08,79,100,14.36,BR,1580184465
370,teya,60.38,92.63,18.72,94,100,7.85,RU,1580184465
371,pacific grove,36.62,-121.92,54.0,87,75,6.93,US,1580184108
372,hohoe,7.15,0.47,69.78,72,36,2.3,GH,1580184466
373,belmonte,-15.86,-38.88,77.0,94,75,3.36,BR,1580184466
374,payo,-3.75,103.64,74.35,91,100,2.01,ID,1580184466
375,kununurra,-15.77,128.73,100.4,37,48,5.82,AU,1580184376
376,minatitlan,17.98,-94.52,71.38,95,4,5.97,MX,1580184466
377,tabuk,17.42,121.44,76.98,72,3,6.69,PH,1580184466
378,bougouni,11.42,-7.48,68.18,10,67,4.09,ML,1580184466
379,buraydah,26.33,43.98,33.8,74,0,4.63,SA,1580184371
